location,city,country,pollutant,value,timestamp,unit,source_name,latitude,longitude,averaged_over_in_hours,location_geom,year,month,day,hour
City of London - Walbrook Wharf,City of London,United Kingdom,no2,51.5,2022-05-01 21:00:00+00:00,µg/m³,London Air Quality Network,1.0,51.510499,-0.091634,POINT(51.510499 1),2022,5,1,21
Middlesbrough,Middlesbrough,United Kingdom,no2,5.0,2022-05-19 11:00:00+00:00,µg/m³,DEFRA,1.0,54.569297,-1.220874,POINT(54.569297 1),2022,5,19,11
London Haringey Priory Park South,London,United Kingdom,no2,19.0,2022-04-30 04:00:00+00:00,µg/m³,DEFRA,1.0,51.584128,-0.125254,POINT(51.584128 1),2022,4,30,4
London Haringey Priory Park South,London,United Kingdom,no2,26.0,2022-04-30 07:00:00+00:00,µg/m³,DEFRA,1.0,51.584128,-0.125254,POINT(51.584128 1),2022,4,30,7
Tuen Mun,N.T.,Hong Kong,no2,38.0,2022-04-30 10:00:00+00:00,µg/m³,Hong Kong,1.0,22.3911111111111,113.976666666667,POINT(22.3911111111111 1),2022,4,30,10
Central,Central,Hong Kong,no2,46.2,2022-05-11 12:00:00+00:00,µg/m³,Hong Kong,1.0,22.2819444444444,114.158055555556,POINT(22.2819444444444 1),2022,5,11,12
Tap Mun,Tap Mun Police Post,Hong Kong,no2,17.0,2022-04-24 04:00:00+00:00,µg/m³,Hong Kong,1.0,22.4713888888889,114.360833333333,POINT(22.4713888888889 1),2022,4,24,4
Yuen Long,New Territories,Hong Kong,no2,27.6,2022-04-27 19:00:00+00:00,µg/m³,Hong Kong,1.0,22.4452777777778,114.022777777778,POINT(22.4452777777778 1),2022,4,27,19
Tung Chung,New Territories,Hong Kong,no2,6.2,2022-05-22 20:00:00+00:00,µg/m³,Hong Kong,1.0,22.2888888888889,113.943611111111,POINT(22.2888888888889 1),2022,5,22,20
Tai Po,New Territories,Hong Kong,no2,16.5,2022-05-05 09:00:00+00:00,µg/m³,Hong Kong,1.0,22.4508333333333,114.164444444444,POINT(22.4508333333333 1),2022,5,5,9
Sha Tin,New Territories,Hong Kong,no2,41.7,2022-05-07 15:00:00+00:00,µg/m³,Hong Kong,1.0,22.3763888888889,114.184444444444,POINT(22.3763888888889 1),2022,5,7,15
"Gole Bazar, Katni - MPPCB",Katni,India,no2,52.3,2022-04-30 18:00:00+00:00,µg/m³,caaqm,0.25,23.50016,80.23284,POINT(23.50016 0.25),2022,4,30,18
"Bapuji Nagar, Bengaluru - KSPCB",Bengaluru,India,no2,19.9,2022-05-09 05:00:00+00:00,µg/m³,caaqm,0.25,12.951913,77.539784,POINT(12.951913 0.25),2022,5,9,5
"Hebbal 1st Stage, Mysuru - KSPCB",Mysuru,India,no2,15.41,2022-05-04 11:00:00+00:00,µg/m³,caaqm,0.25,12.21041,76.37376,POINT(12.21041 0.25),2022,5,4,11
"JN Stadium, Shillong - Meghalaya PCB",Shillong,India,no2,7.34,2022-05-07 03:00:00+00:00,µg/m³,caaqm,0.25,25.5803419,91.8942571,POINT(25.5803419 0.25),2022,5,7,3
"City Railway Station, Bengaluru - KSPCB",Bengaluru,India,no2,22.25,2022-05-08 16:45:00+00:00,µg/m³,caaqm,1.0,12.9756843,77.5660749,POINT(12.9756843 1),2022,5,8,16
"Kalyana Nagara, Chikkamagaluru - KSPCB",Chikkamagaluru,India,no2,21.75,2022-05-13 14:45:00+00:00,µg/m³,caaqm,0.25,13.328028,75.797056,POINT(13.328028 0.25),2022,5,13,14
"IIPHG Lekawada, Gandhinagar - IITM",Gandhinagar,India,no2,15.31,2022-05-05 10:45:00+00:00,µg/m³,caaqm,0.25,23.243639,72.68994,POINT(23.243639 0.25),2022,5,5,10
"General Hospital, Mandikhera - HSPCB",Mandikhera,India,no2,10.39,2022-05-10 03:45:00+00:00,µg/m³,caaqm,0.25,27.9002,76.9938,POINT(27.9002 0.25),2022,5,10,3
"Siddharth Nagar-Worli, Mumbai - IITM",Mumbai,India,no2,0.0,2022-05-24 03:00:00+00:00,µg/m³,caaqm,0.25,19.000083,72.813993,POINT(19.000083 0.25),2022,5,24,3
"SAC ISRO Bopal, Ahmedabad - IITM",Ahmedabad,India,no2,9.99,2022-05-02 08:45:00+00:00,µg/m³,caaqm,0.25,23.041137,72.456691,POINT(23.041137 0.25),2022,5,2,8
"Sector-51, Gurugram - HSPCB",Gurugram,India,no2,36.8,2022-05-02 15:00:00+00:00,µg/m³,caaqm,0.25,28.4227,77.0667,POINT(28.4227 0.25),2022,5,2,15
"Nagar Nigam, Prayagraj - UPPCB",Prayagraj,India,no2,21.31,2022-05-05 17:00:00+00:00,µg/m³,caaqm,0.25,25.44919916,81.82735986,POINT(25.44919916 0.25),2022,5,5,17
"City Railway Station, Bengaluru - KSPCB",Bengaluru,India,no2,21.01,2022-05-07 16:45:00+00:00,µg/m³,caaqm,1.0,12.9756843,77.5660749,POINT(12.9756843 1),2022,5,7,16
"Ashok Nagar, Udaipur - RSPCB",Udaipur,India,no2,36.78,2022-05-07 11:45:00+00:00,µg/m³,caaqm,1.0,24.5886166,73.6321397,POINT(24.5886166 1),2022,5,7,11
"Police Commissionerate, Jaipur - RSPCB",Jaipur,India,no2,66.83,2022-05-13 01:45:00+00:00,µg/m³,caaqm,1.0,26.9164092,75.7994901,POINT(26.9164092 1),2022,5,13,1
"Chitragupta Nagar, Siwan - BSPCB",Siwan,India,no2,42.4,2022-05-07 21:45:00+00:00,µg/m³,caaqm,0.25,26.2271665,84.3570427,POINT(26.2271665 0.25),2022,5,7,21
"Bandra Kurla Complex, Mumbai - IITM",Mumbai,India,no2,15.89,2022-05-06 15:45:00+00:00,µg/m³,caaqm,0.25,19.053536,72.84643,POINT(19.053536 0.25),2022,5,6,15
"SAC ISRO Satellite, Ahmedabad - IITM",Ahmedabad,India,no2,9.43,2022-05-13 19:45:00+00:00,µg/m³,caaqm,0.25,23.023389,72.515201,POINT(23.023389 0.25),2022,5,13,19
"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",Gorakhpur,India,no2,1.85,2022-05-10 16:00:00+00:00,µg/m³,caaqm,0.25,26.730136,83.433859,POINT(26.730136 0.25),2022,5,10,16
"Kurla, Mumbai - MPCB",Mumbai,India,no2,9.67,2022-05-15 12:45:00+00:00,µg/m³,caaqm,0.25,19.0863,72.8888,POINT(19.0863 0.25),2022,5,15,12
"DM Office_Kasipur, Samastipur - BSPCB",Samastipur,India,no2,53.8,2022-05-04 09:45:00+00:00,µg/m³,caaqm,0.25,25.859655,85.77944,POINT(25.859655 0.25),2022,5,4,9
"GM Office, Brajrajnagar - OSPCB",Brajrajnagar,India,no2,17.92,2022-05-19 17:00:00+00:00,µg/m³,caaqm,1.0,21.8004996,83.8396977,POINT(21.8004996 1),2022,5,19,17
"Bollaram Industrial Area, Hyderabad - TSPCB",Hyderabad,India,no2,29.8,2022-05-09 01:00:00+00:00,µg/m³,caaqm,1.0,17.540891,78.358528,POINT(17.540891 1),2022,5,9,1
"Shyam Nagar, Palwal - HSPCB",Palwal ,India,no2,15.94,2022-05-06 13:45:00+00:00,µg/m³,caaqm,0.25,28.1485564,77.3320667,POINT(28.1485564 0.25),2022,5,6,13
"IGSC Planetarium Complex, Patna - BSPCB",Patna,India,no2,77.4,2022-04-28 01:00:00+00:00,µg/m³,caaqm,1.0,25.5941,85.1376,POINT(25.5941 1),2022,4,28,1
"Kacheripady, Ernakulam - Kerala PCB",Ernakulam,India,no2,41.73,2022-05-11 00:00:00+00:00,µg/m³,caaqm,0.25,9.985653,76.281342,POINT(9.985653 0.25),2022,5,11,0
"B R Ambedkar University, Lucknow - UPPCB",Lucknow,India,no2,7.77,2022-05-15 11:00:00+00:00,µg/m³,caaqm,0.25,26.766433,80.927299,POINT(26.766433 0.25),2022,5,15,11
"CRRI Mathura Road, Delhi - IMD",Delhi,India,no2,23.0,2022-04-06 14:45:00+00:00,µg/m³,caaqm,1.0,28.5512005,77.2735737,POINT(28.5512005 1),2022,4,6,14
"GIFT City, Gandhinagar - IITM",Gandhinagar,India,no2,10.17,2022-04-29 12:45:00+00:00,µg/m³,caaqm,0.25,23.163798,72.677768,POINT(23.163798 0.25),2022,4,29,12
"Deshpande Nagar, Hubballi - KSPCB",Hubballi,India,no2,15.23,2022-05-06 08:45:00+00:00,µg/m³,caaqm,0.25,15.351773,75.140726,POINT(15.351773 0.25),2022,5,6,8
"Rohini, Delhi - DPCC",Delhi,India,no2,15.0,2022-04-30 23:45:00+00:00,µg/m³,caaqm,0.25,28.732528,77.11992,POINT(28.732528 0.25),2022,4,30,23
"Okhla Phase-2, Delhi - DPCC",Delhi,India,no2,48.0,2022-05-05 12:45:00+00:00,µg/m³,caaqm,0.25,28.530785,77.271255,POINT(28.530785 0.25),2022,5,5,12
"Talkatora District Industries Center, Lucknow - CPCB",Lucknow,India,no2,100.59,2022-05-05 20:00:00+00:00,µg/m³,caaqm,0.25,26.83399722,80.8917361,POINT(26.83399722 0.25),2022,5,5,20
"Omex Eternity, Vrindavan - UPPCB",Vrindavan,India,no2,3.96,2022-05-08 13:00:00+00:00,µg/m³,caaqm,0.25,27.571409,77.655757,POINT(27.571409 0.25),2022,5,8,13
"Kacheripady, Ernakulam - Kerala PCB",Ernakulam,India,no2,41.09,2022-05-17 15:00:00+00:00,µg/m³,caaqm,0.25,9.985653,76.281342,POINT(9.985653 0.25),2022,5,17,15
"Mundka, Delhi - DPCC",Delhi,India,no2,39.3,2022-05-13 00:15:00+00:00,µg/m³,caaqm,0.25,28.684678,77.076574,POINT(28.684678 0.25),2022,5,13,0
